,1. Tổng doanh thu hoạt động kinh doanh,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần (1)-(2),4. Giá vốn hàng bán,5. Lợi nhuận gộp (3)-(4),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,-Trong đó: Chi phí lãi vay,8. Phần lợi nhuận hoặc lỗ trong công ty liên kết liên doanh,9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh (5)+(6)-(7)+(8)-(9)-(10),12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác (12)-(13),15. Tổng lợi nhuận kế toán trước thuế (11)+(14),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Chi phí thuế TNDN (16)+(17),19. Lợi nhuận sau thuế thu nhập doanh nghiệp (15)-(18),20. Lợi nhuận sau thuế của cổ đông không kiểm soát,21. Lợi nhuận sau thuế của cổ đông của công ty mẹ (19)-(20)
2002,1514961000000,0,1514961000000,1361252000000,153709000000,669000000,12851000000,9008000000,0,81804000000,41781000000,17942000000,78000000,41000000,37000000,17979000000,0,0,0,17979000000,0,17979000000
2003,4148298000000,0,4148298000000,3890028000000,258270000000,2164000000,19772000000,12867000000,0,110995000000,85848000000,43819000000,423000000,348000000,75000000,43894000000,0,0,0,43894000000,0,43894000000
2004,8734781210624,0,8734781210624,8196631035904,538150174720,4389000192,28326000640,21814999040,0,158410997760,164054007808,191748168704,1396000000,369000000,1027000000,192775168704,17956999168,0,17956999168,174818169536,0,174818169536
2005,14100792000000,0,14100792000000,13179645000000,921147000000,7227000000,40367000000,31456000000,0,283983000000,269132000000,334892000000,15635000000,6634000000,9001000000,343893000000,42515000000,0,42515000000,301378000000,20895000000,280483000000
2006,21399751709338,0,21399751709338,20048518869749,1351232839589,11277770522,74258888827,57960675488,0,357567307328,435825894189,494858519767,140455514550,26015457052,114440057498,609298577265,73686819439,0,73686819439,535611757826,85175866636,450435891190
2007,13518396514258,19505744417,13498890769841,11537442806276,1961447963565,48935986199,72344115885,42955516407,4043113890,384773203149,600167811674,957141932946,100711660272,28868285483,71843374789,1028985307735,148714637609,0,148714637609,880270670126,142801214063,737469456063
2008,16429737389964,47897605482,16381839784482,13403403743013,2978436041469,197472172458,495236445170,80487827505,-39959075351,526659179440,963266210770,1150787303196,191150989872,101852923260,89298066612,1240085369808,212403699319,-23365346963,189038352356,1051047017452,214776420820,836270596632
2009,18422051089298,18024849672,18404026239626,14718672820347,3685353419279,187940956789,445370907248,109698561121,69667480305,527090976624,1306345365897,1664154606604,185589495174,152221649760,33367845414,1697522452018,329028781416,-37380572584,291648208832,1405874243186,342525329312,1063348913874
2010,20041458740325,24155072752,20017303667573,16028810900958,3988492766615,464258807267,559127001271,238147740131,107833643477,646360219686,1370580524332,1984517472070,144687563509,106011889135,38675674374,2023193146444,346753884742,-15317991593,331435893149,1691757253295,427250900305,1264506352990
2011,25397759809554,27512943153,25370246866401,20412099286524,4958147579877,552057804065,693757749103,249500890165,35537691711,793284728364,1603154839368,2455545758818,104920544425,58923327122,45997217303,2501542976121,418067272905,4327973530,422395246435,2079147729686,397329534986,1681818194700
2012,24624085073577,29781279167,24594303794410,19902158833281,4692144961129,636518017402,549888372973,228658640864,32661858396,857892994946,1602676357135,2350867111873,167744037808,112050540397,55693497411,2406560609284,424440322537,-3366546576,421073775961,1985486833323,445159932992,1540326900331
2013,27114701620108,86812893801,27027888726307,21488735997741,5539152728566,385721360302,270555567201,132491172822,21520886281,1356607364353,1846473690787,2472758352808,204959308306,119640696452,85318611854,2558076964662,477971353268,-27654356365,450316996903,2107759967759,457604776329,1650155191430
2014,32873026689955,228370331060,32644656358895,26371195996918,6273460361977,367644565708,354076323129,166165287204,40858599445,1702757995648,2183260264435,2441868943918,193661930126,176306672007,17355258119,2459224202037,399000144668,-18900741566,380099403102,2079124798935,447039711742,1632085087193
2015,38707143264487,747444508465,37959698756022,30465878878610,7493819877412,452546690212,620411567508,262502327611,34474687218,2226870805958,2331789496610,2801769384766,146796066673,97416623718,49379442955,2851148827721,497001075715,-83937013159,413064062556,2438084765165,507188844536,1930895920629
2016,40447137929383,915669265439,39531468663944,31093333588720,8438135075224,574759707458,694213959980,374186078800,35133362370,2638454515198,2751158473432,2964201196442,99839840254,50142370455,49697469799,3013898666241,424741482194,13466338768,438207820962,2575690845279,585048266888,1990642578391
2017,43298396301993,639785460639,42658610841354,32976206156753,9682404684601,1583099974667,600871831217,368545679548,71085355123,3074637403520,3441128714059,4219952065595,101847192667,66681480755,35165711912,4255117777507,698493915640,28509947486,727003863126,3528113914381,596583051819,2931530862562
2018,23259126277266,45589419541,23213536857725,14490657872236,8722878985489,600093309692,361046565710,238344431747,439027114689,2047833577540,3553288111032,3799831155588,60448926027,2677526409,57771399618,3857602555206,599214896970,24390517191,623605414161,3233997141045,613818509059,2620178631986
2019,27791982176829,75022024554,27716960152275,17004910529153,10712049623122,650494541199,592386050061,358987537452,404927466313,2345957646507,4219254770652,4609873163414,112683563071,58026214779,54657348292,4664530511706,761989612116,-9171267283,752818344833,3911712166873,776361790219,3135350376654
2020,29921698144296,91297617472,29830400526824,18016743052097,11813657474727,821896424782,548165211617,385337754896,312193572178,2713561338553,4495366457586,5190654463931,131401186949,58599020913,72802166036,5263456629967,942814118631,-103102706262,839711412369,4423745217598,885737478775,3538007738823
2021,35671052233610,13789688583,35657262545027,22025298308249,13631964236778,1270789386267,1144187446845,483995846804,686864681119,3604610784981,4612325935574,6228494136764,133219177622,24506873428,108712304194,6337206440958,954883280274,33022061188,987905341462,5349301099496,1011889219694,4337411879802
2022,44023010881275,13483200364,44009527680911,26842249039713,17167278641198,1998503979865,1687369701824,645725556308,483598048401,4526440691815,5846280653514,7589289622311,184323926142,111330588573,72993337569,7662282959880,1193613667231,-22674161820,1170939505411,6491343454469,1181234863061,5310108591408
2023,52625174861333,7274033948,52617900827385,32298347382703,20319553444682,2336069089819,1718298463710,832648611261,42347008961,5242551906960,6625373638359,9111745534433,200956010920,109695446783,91260564137,9203006098570,1424017001796,-9060642842,1414956358954,7788049739616,1322859306994,6465190432622
