,A. Tài sản lưu động và đầu tư ngắn hạn,I. Tiền và các khoản tương đương tiền,II. Các khoản đầu tư tài chính ngắn hạn,III. Các khoản phải thu ngắn hạn,IV. Tổng hàng tồn kho,V. Tài sản ngắn hạn khác,B. Tài sản cố định và đầu tư dài hạn,I. Các khoản phải thu dài hạn,II. Tài sản cố định,III. Bất động sản đầu tư,IV. Tài sản dở dang dài hạn,V. Các khoản đầu tư tài chính dài hạn,VI. Tổng tài sản dài hạn khác,VII. Lợi thế thương mại,TỔNG CỘNG TÀI SẢN,A. Nợ phải trả,I. Nợ ngắn hạn,II. Nợ dài hạn,B. Nguồn vốn chủ sở hữu,I. Vốn chủ sở hữu,II. Nguồn kinh phí và quỹ khác,TỔNG CỘNG NGUỒN VỐN
2009,294994200000,29526221000,0,65231812000,188467326000,11768841000,26267886000,0,12455712000,0,1186620000,0,12625554000,0,321262086000,266561381000,205521592000,61039789000,54700705000,54700705000,0,321262086000
2010,526390705186,28546379179,0,129759069897,339828333715,28256922395,73170611282,0,22657976098,0,2956308238,0,47556326946,0,599561316468,447791328013,442306032463,5485295550,151769988455,151769988455,0,599561316468
2011,1239541771970,79996993338,50000000,201549992254,877099528581,80845257797,296580173138,0,70621423686,0,43064888897,0,182893860555,0,1536121945108,1227282590303,1218062148194,9220442109,308839354805,308839354805,0,1536121945108
2012,1281019061857,104831347041,0,159813793337,951564386083,64809535396,313804801193,0,110983049144,0,0,0,200333350756,2488401293,1594823863050,1135687575029,1135687575029,0,459136288021,459136288021,0,1594823863050
2013,1909084643229,304733768468,0,247310873457,1288949605087,68090396217,322791455377,0,263987123901,0,11052648338,0,47053250242,698432896,2231876098606,1407239941555,1407239941555,0,824636157051,824636157051,0,2231876098606
2014,2837686622393,212920620191,0,296735549237,2195306348135,132724104830,569512868791,0,411358537322,0,23060724276,0,112547057929,22546549264,3407199491184,1923190326673,1923190326673,0,1484009164511,1484009164511,0,3407199491184
2015,6176432326364,343872968705,0,636322979955,4932684842299,263551535405,1089329907510,112464049268,849146989686,0,42854581814,0,72338426042,12525860700,7265762233874,4782209545548,4782209545548,0,2483552688326,2483552688326,0,7265762233874
2016,12288142407269,996983462012,0,1410642874572,9370731749778,509784320907,2566120825722,179685175407,2096423249031,0,80420562147,0,207086667001,2505172136,14854263232991,11012905506628,11012905506628,0,3841357726363,3841357726363,0,14854263232991
2017,18862861306281,3410983351393,0,2765847815554,12050162650982,635867488352,3959802908939,242115970118,3463657994935,0,35457406785,0,218571537101,0,22822664215220,16913747880005,15713814885175,1199932994830,5908916335215,5908916335215,0,22822664215220
2018,23371994756394,3749550258212,50922451739,1542529736073,17446005298981,582987011389,4750536730462,313775645332,3333147659602,0,256831997207,59937763115,234316816140,552526849066,28122531486856,19139496155514,17929433003626,1210063151888,8983035331342,8983035331342,0,28122531486856
2019,35011896908246,3115236816468,3137000000000,1815085561979,25745428436580,1199146093219,6696198636637,374563598474,5403776988921,0,87430438310,56464479744,282828154241,491134976947,41708095544883,29564503350530,28442366683873,1122136666657,12143592194353,12143592194353,0,41708095544883
2020,37317233970267,7347857397925,8057318821918,1595251018496,19422177452674,894629279254,8713645982187,439493257757,7294961666136,0,132620362470,52757540273,364070050723,429743104828,46030879952454,30549190106022,29422513439369,1126676666653,15481689846432,15481689846432,0,46030879952454
2021,51955257770657,4142015762555,14236626334707,3162121971586,29167232293922,1247261407887,11016147044285,482389179464,9647168873232,0,79697939172,0,438539819708,368351232709,62971404814942,42593158815096,42593158815096,0,20378245999846,20378245999846,0,62971404814942
2022,44577607228189,5061020547422,10069249605640,3000817466182,25696077735282,750441873663,11256488385860,503486573563,9727502911440,0,123873978878,231034840000,363630721389,306959360590,55834095614049,31901514096473,26000264096473,5901250000000,23932581517576,23932581517576,0,55834095614049
2023,51950337976047,5365704857172,18937008073823,5158853337785,21824235626176,664536081091,8160899236677,457569986630,6500135608914,0,4493856934,746632252729,206500042999,245567488471,60111237212724,36751679245386,30765260553972,5986418691414,23359557967338,23359557967338,0,60111237212724
