,1. Lợi nhuận trước Thuế Thu nhập doanh nghiệp,2. Điều chỉnh cho các khoản:,- Khấu hao TSCĐ,- Các khoản dự phòng,(- Lãi) hoặc (+ lỗ) chênh lệch tỷ giá hối đoái chưa thực hiện,- Chi phí phải trả chi phí trả trước,- Lãi lỗ từ hoạt động đầu tư (đầu tư công ty con liên doanh liên kết),- Dự thu tiền lãi,- Các khoản điều chỉnh khác,3. Tăng các chi phí phi tiền tệ,- Lỗ đánh giá giá trị các tài sản tài chính ghi nhận thông qua kết quả kinh doanh,- Lỗ đánh giá giá trị các công nợ tài chính ghi nhận thông qua kết quả kinh doanh,- Lỗ đánh giá giá trị các công cụ tài chính phái sinh,- Lỗ từ thanh lý các tài sản tài chính sẵn sàng để bán,- Suy giảm giá trị của các tài sản tài chính sẵn sàng để bán,- Lỗ đánh giá giá trị các công cụ tài chính phái sinh cho mục đích phòng ngừa rủi ro,- Lỗ từ thanh lý tài sản cố định,- Suy giảm giá trị của các tài sản cố định,- Lỗ từ thanh lý các khoản đầu tư vào công ty con và công ty liên doanh liên kết,4. Giảm các doanh thu phi tiền tệ,- Lãi đánh giá giá trị các tài sản tài chính ghi nhận thông qua kết quả kinh doanh,- Lãi đánh giá giá trị các công nợ tài chính thông qua kết quả kinh doanh,- Lãi từ thanh lý các tài sản tài chính sẵn sàng để bán,- Hoàn nhập suy giảm giá trị của các tài sản tài chính sẵn sàng để bán,- Lãi đánh giá giá trị các công cụ tài chính phái sinh cho mục đích phòng ngừa,- Lãi từ thanh lý các khoản cho vay và phải thu,- Hoàn nhập chi phí dự phòng,- Lãi từ thanh lý tài sản cố định BĐSĐT,- Lãi từ thanh lý các khoản đầu tư vào công ty con và công ty liên doanh liên kết,5. Thay đổi tài sản và nợ phải trả hoạt động,- Tăng (giảm) tài sản tài chính ghi nhận thông qua lãi lỗ,- Tăng (giảm) các khoản đầu tư giữ đến ngày đáo hạn,- Tăng (giảm) các khoản cho vay,- Tăng (giảm) tài sản tài chính sẵn sàng để bán,- Tăng (giảm) các tài sản khác,- Tăng (giảm) các khoản phải thu,- Tăng (giảm) vay và nợ thuê tài sản tài chính,- Tăng (giảm) vay tài sản tài chính,- Tăng (giảm) Trái phiếu chuyển đổi - Cấu phần nợ,- Tăng (giảm) Trái phiếu phát hành,- Tăng (giảm) vay Quỹ Hỗ trợ thanh toán,6. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,(-) Tăng (+) giảm phải thu bán các tài sản tài chính,(-) Tăng (+) giảm phải thu tiền lãi các tài sản tài chính,(-) Tăng (+) giảm các khoản phải thu các dịch vụ CTCK cung cấp,(-) Tăng (+) giảm các khoản phải thu về lỗi giao dịch chứng khoán,(-) Tăng (+) giảm các khoản phải thu khác,(+) Tăng (-) giảm phải trả cho người bán,(+) Tăng (-) giảm phải trả Tổ chức phát hành chứng khoán,(+) Tăng (-) giảm thuế và các khoản phải nộp Nhà nước,(+) Tăng (-) giảm phải trả phải nộp khác,(+) Tăng (-) giảm Thuế TNDN CTCK đã nộp,- Tiền thu khác từ hoạt động kinh doanh,- Tiền chi khác cho hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,1. Tiền chi để mua sắm xây dựng TSCĐ BĐSĐT và các tài sản khác,2. Tiền thu từ thanh lý nhượng bán TSCĐ BĐSĐT và các tài sản khác,3. Tiền chi đầu tư vốn vào công ty con công ty liên doanh liên kết và đầu tư khác,4. Tiền thanh lý các khoản đầu tư vào công ty con công ty liên doanh liên kết và đầu tư khác,5.Tiền thu về cổ tức và lợi nhuận được chia,Lưu chuyển tiền thuần từ hoạt động đầu tư,1. Tiền thu từ phát hành cổ phiếu nhận vốn góp của chủ sở hữu,2. Tiền chi trả vốn góp cho chủ sở hữu mua lại cổ phiếu quỹ,3. Tiền vay gốc,3.1. Tiền vay Quỹ Hỗ trợ thanh toán,3.2. Tiền vay khác,4. Tiền chi trả nợ gốc vay,4.1. Tiền chi trả gốc vay Quỹ Hỗ trợ thanh toán,4.2. Tiền chi trả nợ gốc vay tài sản tài chính,4.3. Tiền chi trả gốc nợ vay khác,5. Tiền chi trả nợ thuê tài chính,6. Cổ tức lợi nhuận đã trả cho chủ sở hữu,Lưu chuyển tiền thuần từ hoạt động tài chính,IV. Tăng/giảm tiền thuần trong kỳ,V. Tiền và các khoản tương đương tiền đầu kỳ,Tiền gửi ngân hàng đầu kỳ,- Tiền gửi ngân hàng cho hoạt động CTCK,Các khoản tương đương tiền,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,VI. Tiền và các khoản tương đương tiền cuối kỳ,Tiền gửi ngân hàng cuối kỳ,- Tiền gửi ngân hàng cho hoạt động CTCK,Các khoản tương đương tiền,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ
2014,927840400057,-547985279914,20992777544,183168356250,0,0,-303523403257,-545379920119,270220306377,146966090531,117301550432,0,1233535166,0,28431004933,0,0,0,0,-152456070613,-152456070613,0,0,0,0,0,0,0,0,231350523096,-303374137930,699738982082,-145105474216,-167207209943,147298363103,0,0,0,0,0,0,-238375382302,-50954500000,0,-26918424600,0,6678953786,4420863801,0,5702846752,-468526561846,-244437916359,575402759035,-39743402871,-1787511924784,-9678007454,1000000,-1726558968158,2597115917522,160205452519,1021085394429,86498771600,-54900,20735961702782,0,32403034307330,-19588795277226,0,0,-31609041596782,0,-353206205358,880458936898,114032406543,1838619478462,505442808092,505442808092,235000000000,5917487183,1952651885005,200205959020,200205959020,107413029168,5917487138
2015,1064136802562,-547985279914,21129376800,-296732637863,0,0,-303523403257,-545379920119,270220306377,146966090531,117301550432,0,1233535166,0,28431004933,0,0,0,0,-152456070613,-152456070613,0,0,0,0,0,0,0,0,231350523096,-303374137930,699738982082,-145105474216,-167207209943,147298363103,0,0,0,0,0,0,-238375382302,-50954500000,0,-26918424600,0,6678953786,4420863801,0,5702846752,-468526561846,-244437916359,575402759035,-39743402871,-1342269483770,-6101959114,12136004,-4087666931911,2016536792309,203964567340,-1873255395372,152453860000,-170427500,19821505132020,0,32403034307330,-16726284631360,0,0,-31609041596782,0,-138324000,3247365609160,31840730018,1952651885005,505442808092,505442808092,235000000000,5917487183,1990410102161,200205959020,200205959020,107413029168,5917487138
2016,1056825860115,-547985279914,18206356391,12491380694,0,0,-303523403257,-545379920119,270220306377,146966090531,117301550432,0,1233535166,0,28431004933,0,0,0,0,-152456070613,-152456070613,0,0,0,0,0,0,0,0,231350523096,-303374137930,699738982082,-145105474216,-167207209943,147298363103,0,0,0,0,0,0,-238375382302,-50954500000,0,-26918424600,0,6678953786,4420863801,0,5702846752,-468526561846,-244437916359,575402759035,-39743402871,496325740913,-63666232151,3545455,-3944187436000,2421100000000,239913927673,-1346836195023,99980000000,-2322300400,32403034307330,0,32403034307330,-31609041596782,0,0,-31609041596782,0,-478935287000,412715123148,-437795330962,746360295275,505442808092,505442808092,235000000000,5917487183,308564964314,200205959020,200205959020,107413029168,945976126
2017,1405021409033,-730566500836,20947213144,-620599691,173396382,343901229535,-495229118735,-599043514417,-695107054,324108886222,328000178020,0,1468135635,0,-5359427433,0,0,0,0,-589814228061,-363520691804,0,0,-226293536257,0,0,0,0,0,-1919409524733,379032638757,-491170678200,-1984894287302,226707855613,-49085053601,0,0,0,0,0,0,-65327961613,26807894500,0,-19296504894,0,-26310583847,-3610395170,0,25027050340,-151380652608,-194330165299,640929056455,-363163661090,-1575987919988,-35106376598,541299081,-6253000320400,4028100000000,383362668183,-1876102729734,100469064000,0,49501155932980,0,49501155932980,-45623408947381,0,0,-45623408947381,0,-488704651000,3489511398599,37420748877,308564964314,200205959021,200205959021,107413029168,945976125,345985713191,231375853648,231375853648,114481402776,128456767
2018,1623213463955,-988899808584,30828467858,32917256564,-421456231,536868896600,-763332907195,-829220813597,3460747417,517731974584,510162874917,0,6594554707,0,974544960,0,0,0,0,-428680923541,-249068059560,0,0,-179612863981,0,0,0,0,0,-4996717572326,-346083790863,-4083037234365,-202578855841,-445708310733,80690619476,0,0,0,0,0,0,1335183314050,15429702300,0,24323340163,0,20336239684,1701043929,0,-18161381502,1373712132778,-363396519872,833621959568,-552383202998,-2938169551862,-57359665687,207083032942,-7310033500304,7059305313000,433034276448,332029456399,213767095785,-53493124050,85775993676758,0,85775993676758,-82565001682361,0,0,-82565001682361,0,-498231445000,2873034521132,266894425669,345985713191,231375853648,231375853648,114481402776,128456767,612880138860,309402953426,309402953426,300016438018,3460747416
2019,1105523561457,-678421272086,42893121783,11018850000,17056026742,804176964572,-774694168490,-778607342006,-264724687,247834697715,247253242424,0,487522858,0,93932433,0,0,0,0,-338723940585,-273788286532,0,0,-64935654053,0,0,0,0,0,4183126992044,-729085956938,4229718616954,607308957855,78382883185,-3197509012,0,0,0,0,0,0,-1470677446953,-32459239600,0,-13207552407,0,7289774317,13783587876,0,-381456456,-1174336966748,-188842598770,767599696016,-850122691181,3048662591592,-66733065297,195590907,-14361716475830,7535549999996,689687634935,-6203016315289,0,-10392739400,99271540327215,0,99271540327215,-95172222925624,0,0,-95172222925624,0,-506668467000,3582256195191,427902471494,612880138860,309402953426,309402953426,300016438018,3460747416,1040782610354,260896554224,260896554224,780150780818,-264724688
2020,1557553285063,-851455330268,52843245737,621466516,-44551479388,829431323088,-764452541360,-924978788358,-368556503,475518411116,462224245177,0,13351221324,0,-57055385,0,0,0,0,-932193919274,-703830395292,0,-227713523982,0,0,-650000000,0,0,0,-12614547218129,-8102003145355,-557961407547,-3866815977543,21534578342,-109301266026,0,0,0,0,0,0,91529648031,25673472784,0,14695260532,0,-189797939746,-21855684883,0,28021945639,440444778883,-241876959980,880606302715,-844381527913,-12273595123461,-59039058233,1551381817,-6500000000000,10129251671300,706398742493,4278162737377,100000000000,-15535484501,128576092718449,0,128576092718449,-120743657624735,0,0,-120743657624735,0,-598997932000,7317901677213,-677530708871,1040782610354,260896554224,260896554224,780150780818,-264724688,363251901483,232339764230,232339764230,131280693756,-368556503
2021,3365038841169,-1785587212054,64114904375,-43244042982,32352977726,1029858485847,-838164923344,-2029028569735,-1476043941,350339091546,341283282711,0,-22249965,0,929243500,0,7219571800,929243500,0,-537774283168,-506503737757,0,-31270545411,0,0,0,0,0,0,-15100992757904,1373388533003,-2023099662895,-14471729035827,-84973674452,105421082267,0,0,0,0,0,0,3289660030862,-216958447918,0,-7608266514,0,-1040201148837,15284198117,0,73548687238,3849869244556,-484434955032,2233237967565,-1133077248313,-10419316289549,-165135023133,512636363,-5136242200000,7574642230999,566748774618,2840526418847,1202336556685,-1149759050,254647760778016,0,254647760778016,-246872018111581,0,0,-246872018111581,0,-647156463350,8329773000720,750983130018,363251901483,232339764230,0,131280693756,-368556503,1114235031501,475673815170,475673815170,640037260272,-1476043941
2022,2109703391777,-1704479483934,88676230141,-1167906276,62570946510,1030649945603,-245547898154,-2642816759174,3155957416,458123335265,428689216229,,-621440964,0,25722584854,30055560000,0,0,,-224396325963,-192340425963,,0,-848074751,-32055900000,,,0,,-4809868919307,-18138358519047,822421067828,12640724151277,-113245398753,-21410220612,,,,,,,-2977675103295,251819082850,0,-19252746884,0,-346989269424,293604863381,,-48577891650,-3711583036900,-647985350710,2510798727882,-1259509481840,-7148593105457,-180336153966,38972728,-2900000000000,6909263969827,259926465721,4088893254310,7627988625000,-1367229400,339286560127152,0,339286560127152,-342558769368875,,0,-342558769368875,,-991140071500,3363272082377,303572231230,1114235031501,475673815170,475673815170,640037260272,-1476043941,1417807262731,904053554501,904053554501,510597750814,3155957416
2023,2848566970193,-2006045912098,105753994595,,-68762944467,1570439043267,-237483528681,-3378218475508,2225998696,375867299644,270385557784,,8537006,,,79750620000,,,,-271776613288,-270928538537,,,,,,,,,-19030687503214,-13302569462734,-1272679801295,-4081466691099,-371080443417,-2891104669,,,,,,,3391045220073,1536677426,0,-711555306,,1377837316748,549957324730,,-11106924285,162065469750,-286888581370,3245091463418,-1646735971038,-14693030538690,-98980292042,47830771528,-346640000000,150000000000,173831205477,-73958315037,100000000000,,456844448643479,,456844448643479,-441604695413274,,,-441604695413274,,-1496666111000,13843087119205,-923901734522,1417807262731,904053554501,904053554501,510597750814,3155957416,493905528209,476356340376,476356340376,15307059179,2242128654
